WBIC,LAKE_NAME,UNIQUE_ID,BRANCH,TOUCH_SHORE,IN_WATER,LATITUDE,LONGITUDE
1629500,Big Portage Lake,1629500118,0,1,0,46.125515,-89.279044
1629500,Big Portage Lake,1629500218,0,1,0,46.125281,-89.280157
1629500,Big Portage Lake,1629500318,0,1,1,46.124379999999995,-89.281463
1629500,Big Portage Lake,1629500418,0,1,0,46.123906999999996,-89.282197
1629500,Big Portage Lake,1629500518,1,0,1,46.123881,-89.28226099999999
1629500,Big Portage Lake,1629500618,0,1,1,46.123928,-89.282626
1629500,Big Portage Lake,1629500718,0,1,1,46.124446999999996,-89.283118
1629500,Big Portage Lake,1629500818,1,0,1,46.124559999999995,-89.28331899999999
1629500,Big Portage Lake,1629500918,0,1,1,46.123847999999995,-89.28483899999999
1629500,Big Portage Lake,16295001018,0,1,1,46.123802999999995,-89.28484
1629500,Big Portage Lake,16295001118,0,1,0,46.123115,-89.284808
1629500,Big Portage Lake,16295001218,0,0,0,46.121803,-89.286362
1629500,Big Portage Lake,16295001318,0,1,1,46.120456,-89.28620099999999
1629500,Big Portage Lake,16295001418,1,1,1,46.120447999999996,-89.286136
1629500,Big Portage Lake,16295001518,0,1,0,46.120415,-89.286014
1629500,Big Portage Lake,16295001618,1,1,1,46.119167,-89.28214299999999
1629500,Big Portage Lake,16295001718,1,1,0,46.116901999999996,-89.280005
1629500,Big Portage Lake,16295001818,0,0,1,46.114565999999996,-89.282054
1629500,Big Portage Lake,16295001918,0,0,1,46.114611,-89.28211399999999
1629500,Big Portage Lake,16295002018,0,0,1,46.11475,-89.28230099999999
1629500,Big Portage Lake,16295002118,0,0,1,46.114787,-89.28233
1629500,Big Portage Lake,16295002218,0,0,1,46.115652,-89.28311099999999
1629500,Big Portage Lake,16295002318,0,0,1,46.115677999999996,-89.283107
1629500,Big Portage Lake,16295002418,0,1,1,46.115814,-89.283176
1629500,Big Portage Lake,16295002518,0,1,1,46.115975999999996,-89.283485
1629500,Big Portage Lake,16295002618,0,1,1,46.116132,-89.283626
1629500,Big Portage Lake,16295002718,0,1,1,46.116215,-89.283744
1629500,Big Portage Lake,16295002818,0,1,0,46.116243999999995,-89.28378
1629500,Big Portage Lake,16295002918,0,1,1,46.116797,-89.284604
1629500,Big Portage Lake,16295003018,0,0,1,46.117621,-89.28644299999999
1629500,Big Portage Lake,16295003118,1,1,1,46.118691,-89.286869
1629500,Big Portage Lake,16295003218,0,1,0,46.118722,-89.28843599999999
1629500,Big Portage Lake,16295003318,2,1,1,46.118576,-89.28894299999999
1629500,Big Portage Lake,16295003418,0,0,1,46.117641,-89.293122
1629500,Big Portage Lake,16295003518,0,0,1,46.117599,-89.293221
1629500,Big Portage Lake,16295003618,0,0,1,46.117461999999996,-89.293404
1629500,Big Portage Lake,16295003718,0,1,0,46.117121,-89.294004
1629500,Big Portage Lake,16295003818,0,1,0,46.117104999999995,-89.29403599999999
1629500,Big Portage Lake,16295003918,0,1,1,46.117083,-89.294074
1629500,Big Portage Lake,16295004018,0,1,1,46.117059999999995,-89.294107
1629500,Big Portage Lake,16295004118,0,0,1,46.116937,-89.294202
1629500,Big Portage Lake,16295004218,0,1,1,46.116825999999996,-89.294378
1629500,Big Portage Lake,16295004318,0,0,1,46.116675,-89.295003
1629500,Big Portage Lake,16295004418,0,0,1,46.11672,-89.295745
1629500,Big Portage Lake,16295004518,0,1,0,46.116751,-89.29595499999999
1629500,Big Portage Lake,16295004618,0,1,1,46.116800999999995,-89.295977
1629500,Big Portage Lake,16295004718,0,1,1,46.116841,-89.29611
1629500,Big Portage Lake,16295004818,0,0,1,46.116859,-89.29624799999999
1629500,Big Portage Lake,16295004918,2,1,0,46.118500000000004,-89.29621999999999
1629500,Big Portage Lake,16295005018,0,0,1,46.119625,-89.296482
1629500,Big Portage Lake,16295005118,1,1,1,46.119837,-89.296651
1629500,Big Portage Lake,16295005218,1,1,1,46.119872,-89.296684
1629500,Big Portage Lake,16295005318,1,1,1,46.120075,-89.297028
1629500,Big Portage Lake,16295005418,0,1,1,46.120889999999996,-89.297738
1629500,Big Portage Lake,16295005518,0,1,1,46.121176999999996,-89.297879
1629500,Big Portage Lake,16295005618,1,1,0,46.125471999999995,-89.295971
1629500,Big Portage Lake,16295005718,0,1,0,46.125510999999996,-89.295942
1629500,Big Portage Lake,16295005818,0,0,1,46.125842999999996,-89.295891
1629500,Big Portage Lake,16295005918,2,1,0,46.125893999999995,-89.295904
1629500,Big Portage Lake,16295006018,0,0,1,46.125946,-89.295901
1629500,Big Portage Lake,16295006118,0,1,0,46.125997999999996,-89.295881
1629500,Big Portage Lake,16295006218,0,0,1,46.127252,-89.294215
1629500,Big Portage Lake,16295006318,0,1,1,46.126128,-89.292368
1629500,Big Portage Lake,16295006418,0,1,1,46.127010999999996,-89.28533499999999
1629500,Big Portage Lake,16295006518,0,0,1,46.127244,-89.284733
1629500,Big Portage Lake,16295006618,0,0,1,46.128273,-89.285787
1629500,Big Portage Lake,16295006718,0,1,1,46.128616,-89.286397
1629500,Big Portage Lake,16295006818,2,1,1,46.128705,-89.286677
1629500,Big Portage Lake,16295006918,1,1,0,46.129096,-89.287459
1629500,Big Portage Lake,16295007018,0,0,1,46.129205,-89.28757499999999
1629500,Big Portage Lake,16295007118,0,0,1,46.132639,-89.287881
1629500,Big Portage Lake,16295007218,0,1,1,46.133517,-89.28524
1629500,Big Portage Lake,16295007318,0,1,0,46.132006999999994,-89.273212
1629500,Big Portage Lake,16295007418,0,1,0,46.129953,-89.271974
1629500,Big Portage Lake,16295007518,1,1,1,46.129788999999995,-89.271898
1629500,Big Portage Lake,16295007618,0,1,1,46.129732,-89.27190499999999
1629500,Big Portage Lake,16295007718,0,1,0,46.127629,-89.27225399999999
1629500,Big Portage Lake,16295007818,0,0,1,46.126760999999995,-89.272139
1629500,Big Portage Lake,16295007918,1,0,0,46.12596,-89.27223
1629500,Big Portage Lake,16295008018,0,0,1,46.124812,-89.276156
1629500,Big Portage Lake,16295008118,2,1,1,46.124852999999995,-89.276178
1629500,Big Portage Lake,16295008218,2,1,1,46.124922999999995,-89.276206
1629500,Big Portage Lake,16295008318,2,1,1,46.12497,-89.27620399999999
1629500,Big Portage Lake,16295008418,0,1,1,46.125071999999996,-89.27622
1629500,Big Portage Lake,16295008518,0,1,1,46.125113999999996,-89.276219
1629500,Big Portage Lake,16295008618,1,0,1,46.125232999999994,-89.27625499999999
1629500,Big Portage Lake,16295008718,0,0,1,46.12547,-89.276349
1629500,Big Portage Lake,16295008818,0,0,1,46.1255,-89.27634499999999
1629500,Big Portage Lake,16295008918,0,0,1,46.125519,-89.276337
1629500,Big Portage Lake,16295009018,0,1,1,46.125535,-89.276326
1629500,Big Portage Lake,16295009118,1,1,1,46.125553,-89.27632
1629500,Big Portage Lake,16295009218,1,1,1,46.125568,-89.276314
1629500,Big Portage Lake,16295009318,2,1,0,46.125583,-89.276302
1629500,Big Portage Lake,16295009418,2,0,1,46.125648999999996,-89.276275
1629500,Big Portage Lake,16295009518,2,0,1,46.125668,-89.27625499999999
1629500,Big Portage Lake,16295009618,0,0,1,46.125679999999996,-89.276246
2328700,Papoose Lake,2328700118,2,1,0,46.239973,-89.608273
2328700,Papoose Lake,2328700218,2,1,0,46.189443,-89.807065
2328700,Papoose Lake,2328700318,2,1,0,46.189488999999995,-89.807045
2328700,Papoose Lake,2328700418,2,1,0,46.189606999999995,-89.806955
2328700,Papoose Lake,2328700518,2,1,0,46.189603999999996,-89.806958
2328700,Papoose Lake,2328700618,2,1,1,46.189706,-89.806899
2328700,Papoose Lake,2328700718,0,1,1,46.189772999999995,-89.806855
2328700,Papoose Lake,2328700818,1,0,1,46.189865,-89.80680199999999
2328700,Papoose Lake,2328700918,0,1,1,46.190219,-89.806553
2328700,Papoose Lake,23287001018,0,0,1,46.19039,-89.806473
2328700,Papoose Lake,23287001118,0,0,1,46.190857,-89.806235
2328700,Papoose Lake,23287001218,0,0,0,46.190861999999996,-89.80626199999999
2328700,Papoose Lake,23287001318,2,1,0,46.19099,-89.806049
2328700,Papoose Lake,23287001418,2,1,0,46.19115,-89.80581699999999
2328700,Papoose Lake,23287001518,0,1,1,46.191167,-89.805814
2328700,Papoose Lake,23287001618,0,0,1,46.191207999999996,-89.80577799999999
2328700,Papoose Lake,23287001718,0,0,1,46.191666,-89.805455
2328700,Papoose Lake,23287001818,1,0,1,46.191786,-89.80536599999999
2328700,Papoose Lake,23287001918,1,0,1,46.191846,-89.80535499999999
2328700,Papoose Lake,23287002018,1,1,0,46.191939999999995,-89.805281
2328700,Papoose Lake,23287002118,0,0,1,46.192111,-89.805284
2328700,Papoose Lake,23287002218,0,0,0,46.192174,-89.80530499999999
2328700,Papoose Lake,23287002318,1,1,0,46.192305,-89.805279
2328700,Papoose Lake,23287002418,0,0,1,46.192321,-89.805272
2328700,Papoose Lake,23287002518,2,1,0,46.192457,-89.80520899999999
2328700,Papoose Lake,23287002618,2,1,1,46.192453,-89.805223
2328700,Papoose Lake,23287002718,2,1,1,46.192473,-89.80524
2328700,Papoose Lake,23287002818,0,0,1,46.192524,-89.805219
2328700,Papoose Lake,23287002918,0,0,1,46.192549,-89.805218
2328700,Papoose Lake,23287003018,0,1,1,46.19262,-89.80520299999999
2328700,Papoose Lake,23287003118,0,0,1,46.192668999999995,-89.805195
2328700,Papoose Lake,23287003218,0,1,1,46.192676,-89.80518599999999
2328700,Papoose Lake,23287003318,0,1,1,46.192685,-89.805188
2328700,Papoose Lake,23287003418,0,1,1,46.192768,-89.805144
2328700,Papoose Lake,23287003518,0,1,0,46.192848,-89.805083
2328700,Papoose Lake,23287003618,0,1,0,46.192857,-89.80506899999999
2328700,Papoose Lake,23287003718,0,1,1,46.192864,-89.805059
2328700,Papoose Lake,23287003818,0,0,1,46.192876999999996,-89.805049
2328700,Papoose Lake,23287003918,2,1,0,46.193020999999995,-89.804982
2328700,Papoose Lake,23287004018,0,0,1,46.193038,-89.80489299999999
2328700,Papoose Lake,23287004118,0,0,1,46.193076,-89.804847
2328700,Papoose Lake,23287004218,0,0,1,46.193141,-89.804728
2328700,Papoose Lake,23287004318,0,1,0,46.19319,-89.80462899999999
2328700,Papoose Lake,23287004418,1,1,1,46.193189,-89.80463999999999
2328700,Papoose Lake,23287004518,0,1,1,46.193228,-89.804509
2328700,Papoose Lake,23287004618,0,1,0,46.193236999999996,-89.804496
2328700,Papoose Lake,23287004718,0,0,1,46.193261,-89.804407
2328700,Papoose Lake,23287004818,2,1,0,46.193281,-89.80424699999999
2328700,Papoose Lake,23287004918,0,0,1,46.193301999999996,-89.804176
2328700,Papoose Lake,23287005018,0,1,1,46.193414,-89.803957
2328700,Papoose Lake,23287005118,0,1,0,46.193497,-89.803806
